Job Number,Submit Time,Wait Time,Run Time,Number of Allocated Processors,Average CPU Time Used,Used Memory,Requested Number of Processors,Requested Time,Requested Memory,Status,User ID,Group ID,Executable Number,Queue Number,Partition Number,Preceding Job Number,Think Time from Preceding Job
189,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
190,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
191,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
192,0.1,0.0,79.0,256,,,256,110.6,,1,,,lu.D.256,,,,
193,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
194,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
195,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
196,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
197,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
198,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
199,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
200,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
201,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
202,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
203,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
204,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
205,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
206,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
207,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
208,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
209,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
210,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
211,0.1,0.0,49.0,256,,,256,68.6,,1,,,cg.D.256,,,,
212,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
213,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
214,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
215,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
216,0.1,0.0,43.0,256,,,256,60.199999999999996,,1,,,ft.D.256,,,,
217,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
218,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
219,0.1,0.0,118.0,256,,,256,165.2,,1,,,bt.D.256,,,,
220,0.1,0.0,275.5,256,,,256,385.7,,1,,,ep.E.256,,,,
221,0.1,0.0,133.0,256,,,256,186.2,,1,,,sp.D.256,,,,
222,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
223,0.1,0.0,96.0,256,,,256,134.39999999999998,,1,,,mg.E.256,,,,
224,0.1,0.0,128.0,256,,,256,179.2,,1,,,is.E.256,,,,
225,0.1,0.0,442.0,256,,,256,618.8,,1,,,ft.E.256,,,,
